repeat,alternative_tempering,n_filter_particles,n_sample_particles,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
6,False,50,100,1.152046553668012,0.152046553668012,0.06441872649015629,0.04575,0.16045415189739948,100
7,False,50,100,1.1764125394381795,0.17641253943817947,0.15313620069067244,0.044750000000000005,0.1703308510525645,100
8,False,50,100,1.2004531064227428,0.20045310642274283,0.013155639446676796,0.04600000000000001,0.15416105719489548,100
9,False,50,100,1.1601296901376876,0.16012969013768763,0.11109495288485574,0.042249999999999996,0.15203491691665133,100
0,False,100,25,1.1086714429549374,0.10867144295493736,0.0016517731224391595,0.042,0.09311765155379617,25
1,False,100,25,1.1717363740522813,0.17173637405228126,6.817114119807842e-06,0.044000000000000004,0.08636159233839535,25
2,False,100,25,1.1744544880627266,0.17445448806272656,0.024779882887931523,0.04899999999999999,0.11236392411404059,25
3,False,100,25,1.2282615865571915,0.22826158655719153,7.047157839530129e-06,0.04499999999999999,0.08647638324323671,25
4,False,100,25,1.1685756603058086,0.16857566030580862,3.507518342395912e-06,0.044,0.1118085238954854,25
5,False,100,25,1.1145107017645004,0.1145107017645004,5.856313894718269e-06,0.04699999999999999,0.10721405477371154,25
6,False,100,25,1.2283915786396122,0.22839157863961224,2.316265767699424e-06,0.04999999999999999,0.08722562655971569,25
7,False,100,25,1.0432190435256798,0.043219043525679846,3.736166891235026e-06,0.03900000000000001,0.0976547613326847,25
8,False,100,25,1.1161856124613385,0.11618561246133852,1.0619573381779923e-05,0.04800000000000001,0.11072258759187195,25
9,False,100,25,1.075967154423151,0.07596715442315105,7.141885265264648e-06,0.040999999999999995,0.10664732308190825,25
0,False,100,50,1.2254524605703154,0.22545246057031543,0.01282428700013782,0.035,0.1116246397898912,50
1,False,100,50,1.3250354907021014,0.32503549070210136,0.11973253773704601,0.047499999999999994,0.09997176914536506,50
2,False,100,50,1.2716713545671035,0.27167135456710345,0.0074072251597090116,0.049,0.09646810019974246,50
3,False,100,50,1.2545219307422057,0.25452193074220575,0.031085100589707114,0.045500000000000006,0.08742051544140468,50
4,False,100,50,1.169784812463395,0.16978481246339494,0.030833373981506772,0.0425,0.09822672517047014,50
5,False,100,50,1.1805102471735816,0.18051024717358155,0.014822659956577399,0.04699999999999999,0.07844192557449539,50
6,False,100,50,1.2308301787030809,0.23083017870308087,0.0005053690383868885,0.046500000000000014,0.08739600005062696,50
7,False,100,50,1.1276994520522536,0.12769945205225364,0.002165535340345342,0.043500000000000004,0.10147540778301997,50
8,False,100,50,1.1120724068460357,0.1120724068460357,0.0029408621261915106,0.034,0.08241393593495305,50
9,False,100,50,1.3315793532996922,0.33157935329969224,0.03650203543092745,0.03900000000000001,0.10761440704454747,50
0,False,100,100,1.190465399042016,0.19046539904201598,0.12382156509375725,0.048499999999999995,0.08468551967608245,100
1,False,100,100,1.1077799407540017,0.10777994075400166,0.11480177779768992,0.04300000000000001,0.09344240527707628,100
2,False,100,100,1.0902489294786317,0.09024892947863172,0.022468910803969278,0.040999999999999995,0.09217587679119091,100
3,False,100,100,1.1570886021567035,0.1570886021567035,0.04775729130680664,0.04800000000000001,0.0915028099484689,100
4,False,100,100,1.30447236404878,0.3044723640487801,0.054790671847203085,0.04475,0.09710600344277061,100
5,False,100,100,1.1973751852917922,0.1973751852917922,0.1410844973711482,0.04699999999999999,0.09383440292071368,100
6,False,100,100,1.1895575056323515,0.18955750563235152,0.126290689767715,0.046,0.089678172154115,100
7,False,100,100,1.0617339096846812,0.061733909684681176,0.06608587655264968,0.04574999999999999,0.07984474263352338,100
8,False,100,100,1.2123227758790203,0.21232277587902026,0.01830593994244214,0.0385,0.07723710413918393,100
9,False,100,100,1.139688440721087,0.139688440721087,0.1443244959178453,0.048999999999999995,0.09468895945528602,100
