repeat,seed,alpha,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
5,5,0.5,1.1207300091044419,0.12073000910444187,0.003563131558661347,0.0352,1.6666563730645643,50
5,5,0.8,1.1006999484094957,0.1006999484094957,0.035105671693754364,0.049600000000000005,2.796525493817266,50
6,5,0.3,1.016640207508321,0.01664020750832096,0.0006187171969212366,0.046400000000000004,1.7305660449341413,50
6,5,0.5,0.9830862444763387,0.016913755523661256,0.013927929913884876,0.0328,1.5427494814204203,50
6,5,0.8,1.038640579442736,0.03864057944273602,0.00023952831480730403,0.04880000000000001,2.0074651234740495,50
7,5,0.3,0.9785562279521903,0.021443772047809673,0.003595601299462488,0.036000000000000004,1.9591078368437782,50
7,5,0.5,1.0795051369402797,0.07950513694027972,0.0038569314141251245,0.04400000000000001,1.525016955188911,50
7,5,0.8,0.927687810298019,0.07231218970198094,8.423922055623622e-05,0.0384,1.9782821473711847,50
8,5,0.3,0.9941526472184207,0.005847352781579329,3.7383454601425552e-06,0.0456,1.2688759188294931,50
8,5,0.5,1.005113860132745,0.005113860132744952,0.00029734914229724254,0.048799999999999996,1.4645455158147545,50
8,5,0.8,1.0319183830664664,0.03191838306646644,0.010158347898821573,0.0456,1.7246220035403685,50
9,5,0.3,0.9898290473099685,0.010170952690031543,0.00011100751251444083,0.04479999999999999,1.796480763393213,50
9,5,0.5,1.0568874806799262,0.05688748067992622,0.0004449203015345649,0.04239999999999999,1.557633902081847,50
9,5,0.8,1.1367991793024514,0.13679917930245145,0.023752218155607623,0.031200000000000002,2.0998169912018287,50
0,6,0.3,1.043968720197048,0.043968720197048006,1.5674672247618655e-05,0.0496,1.5180946149911498,50
0,6,0.5,0.9702423738611924,0.029757626138807614,0.02902583882324168,0.046400000000000004,1.527565320709836,50
0,6,0.8,0.9882812356714417,0.01171876432855834,0.09064613515248866,0.016,9.999856496453287,50
1,6,0.3,0.9881359396908478,0.011864060309152213,5.918402499351902e-05,0.038400000000000004,1.0064010390181166,50
1,6,0.5,1.034188804584845,0.03418880458484508,7.684051698592104e-05,0.046400000000000004,1.294442670736152,50
1,6,0.8,1.018446667782674,0.01844666778267401,0.006299029708974454,0.0344,2.3351317819118442,50
2,6,0.3,0.9858614653337001,0.014138534666299885,1.705715240818974e-05,0.0432,1.3506764334032224,50
2,6,0.5,0.9845393209024145,0.015460679097585528,0.0006751174999973485,0.0432,1.259411882330638,50
2,6,0.8,1.1207841628165776,0.12078416281657756,0.01599863076692932,0.044800000000000006,1.8641747206962749,50
3,6,0.3,0.935017537691662,0.06498246230833804,0.008456377493655399,0.0496,1.3670637521433524,50
3,6,0.5,1.019353842232203,0.019353842232203045,0.001291929402017035,0.0392,1.3620807708567324,50
3,6,0.8,1.003053760502625,0.003053760502625069,0.005689955959195018,0.049600000000000005,1.57437795673491,50
4,6,0.3,0.9453429640623832,0.05465703593761684,1.5750480037029085e-05,0.04800000000000001,1.3298889452780844,50
4,6,0.5,0.94830664150494,0.05169335849505996,0.012345021226590194,0.04,1.3775879491609133,50
4,6,0.8,1.0538497005903518,0.05384970059035177,0.004155477220063232,0.047200000000000006,1.8001287841203084,50
5,6,0.3,0.925317522344577,0.07468247765542302,0.016351028817281055,0.0464,1.4550625187051542,50
5,6,0.5,1.0242136001895294,0.02421360018952945,0.0019039996835689176,0.04480000000000001,1.2623943463388443,50
5,6,0.8,0.9888256041485071,0.011174395851492935,0.003966717959193459,0.03440000000000001,1.6075012130531414,50
6,6,0.3,0.9686985319471354,0.0313014680528646,0.00035498845252103197,0.0456,1.417420775881864,50
6,6,0.5,1.0177188076937502,0.017718807693750227,6.370058571020765e-05,0.0416,1.5405257972239594,50
6,6,0.8,1.0173732984753563,0.01737329847535629,0.00357467823862116,0.049600000000000005,1.6225421167985727,50
7,6,0.3,0.9857158293826791,0.014284170617320902,0.009303164754734061,0.04880000000000001,1.7300218567087708,50
7,6,0.5,1.000470417929533,0.00047041792953295136,0.0011310923939635035,0.0416,1.289864343885148,50
