repeat,seed,alternative_tempering,theta_hat,rmse,particle_sd,accept_rate,final_temp,n_final_particles
5,4,True,1.159114623988875,0.159114623988875,0.07815605652730219,0.016799999999999995,0.9988327589585689,50
5,4,False,1.1333261455671861,0.13332614556718614,0.011206632980166184,0.0304,1.5675562398978706,50
6,4,True,1.0886140119613836,0.08861401196138363,0.12619459686565807,0.032,0.9990883442590242,50
6,4,False,1.1224163699503764,0.12241636995037641,1.2390372385712481e-05,0.049600000000000005,1.4428272133047422,50
7,4,True,1.149164993264569,0.1491649932645689,0.11918831105933113,0.024000000000000004,0.9991399146239566,50
7,4,False,1.1755093867354325,0.17550938673543248,0.05636701585306526,0.0416,1.5209040890456738,50
8,4,True,1.1752359618295065,0.17523596182950651,0.08323203687468049,0.016,0.9991541992401046,50
8,4,False,1.1123048636009418,0.11230486360094183,0.010196634767180256,0.049600000000000005,1.8395151354638961,50
9,4,True,1.1363555156143732,0.1363555156143732,0.1392920371487055,0.0072,0.9990894544998759,50
9,4,False,1.106093826372779,0.10609382637277909,0.008750650228466708,0.044000000000000004,1.5767875706792702,50
0,5,True,1.1765451877904862,0.17654518779048622,0.17066099687508804,0.044800000000000006,0.9992836590456511,50
0,5,False,1.0410471262000371,0.04104712620003714,0.004236803257229518,0.046400000000000004,1.37703136602736,50
1,5,True,1.2474369206913658,0.2474369206913658,0.07164508733559039,0.0384,0.9989582988285446,50
1,5,False,0.8985874961451594,0.10141250385484057,0.0003433176014530341,0.048799999999999996,1.8595470050360596,50
2,5,True,1.2053398225927459,0.20533982259274586,0.12637356045667542,0.028800000000000003,0.9991912326240733,50
2,5,False,1.0358460782277934,0.0358460782277934,0.022479590617160747,0.04400000000000001,1.600890935031391,50
3,5,True,1.2159107751049436,0.2159107751049436,0.1737416208437643,0.016,0.9991144253847781,50
3,5,False,1.0374750498179923,0.03747504981799232,0.009111647848829847,0.048,1.489190446275658,50
4,5,True,1.2705994664644924,0.2705994664644924,0.12611473487309743,0.014400000000000001,0.999092016542269,50
4,5,False,1.0537727773622527,0.05377277736225272,0.0010887975727431353,0.0456,1.7098046284909634,50
5,5,True,1.155654098876035,0.1556540988760351,0.10175616371963714,0.039200000000000006,0.9990500295701028,50
5,5,False,0.9865935136997812,0.01340648630021879,0.011902566650263841,0.0216,1.5103208266402683,50
6,5,True,1.255234569953083,0.2552345699530829,0.13162892218524105,0.027200000000000005,0.9989802071792215,50
6,5,False,0.9731856037403463,0.02681439625965365,1.19938859901221e-05,0.0456,1.4834489468057288,50
7,5,True,1.1946823548455499,0.19468235484554985,0.14577017920775523,0.048,0.9992685215228976,50
7,5,False,1.0420790960710042,0.04207909607100424,0.0021750040055013332,0.039200000000000006,1.8670714263991042,50
8,5,True,1.236657661309375,0.23665766130937493,0.12764832903351955,0.049600000000000005,0.9992642975558543,50
8,5,False,1.1077910993572804,0.10779109935728037,6.263576877199546e-05,0.0376,1.3578844139556192,50
9,5,True,1.2044115779110154,0.20441157791101539,0.0661996356991602,0.028800000000000003,0.9991004828699281,50
9,5,False,1.0787438539718843,0.07874385397188433,2.8685317087038077e-06,0.042400000000000014,1.4422670293906457,50
0,6,True,1.0576226829614617,0.05762268296146167,0.17330821207926367,0.0176,0.9989821755235893,50
0,6,False,0.9472455236826814,0.052754476317318555,3.883674461246032e-05,0.04960000000000002,1.316843270036027,50
1,6,True,1.1267903744496297,0.1267903744496297,0.15496383620030454,0.023200000000000002,0.9990962623376822,50
1,6,False,1.0767587295981567,0.07675872959815666,0.013790947628126741,0.049600000000000005,1.5660928716918683,50
2,6,True,1.1005756848820596,0.10057568488205959,0.12287655111660321,0.025600000000000005,0.9990440096850298,50
2,6,False,1.0391286577609387,0.03912865776093866,0.0004680451794206642,0.044800000000000006,1.296910364355091,50
3,6,True,1.0037532044170172,0.0037532044170172085,0.1609210974774992,0.016,0.9990666523858551,50
3,6,False,0.9918957759246652,0.008104224075334843,4.5748738528915645e-06,0.044000000000000004,1.14672761789017,50
4,6,True,1.0913850421074147,0.09138504210741472,0.13850220500574523,0.0176,0.9988880218561744,50
4,6,False,0.9659343537898206,0.03406564621017938,0.0004785278260893321,0.047200000000000006,1.284759788225799,50
5,6,True,1.047186466707273,0.047186466707273,0.16046143177877534,0.016,0.9990107315945209,50
5,6,False,0.9983530984184253,0.0016469015815746557,0.0031016234456857283,0.04880000000000002,1.5523303486451354,50
6,6,True,1.0858265451921638,0.08582654519216382,0.18127823942444243,0.024000000000000004,0.9987745273693622,50
6,6,False,0.9846716736829947,0.015328326317005314,0.0012895062418289967,0.029600000000000008,1.391092084515579,50
7,6,True,1.0689456918623568,0.06894569186235677,0.11706718957012532,0.044000000000000004,0.9992687041560735,50
7,6,False,1.0640253119549508,0.06402531195495076,0.00027585161251510827,0.04720000000000001,1.1279820258287712,50
8,6,True,1.1549282280427615,0.15492822804276152,0.15023774074648494,0.024,0.9990521601543678,50
8,6,False,1.017046916312456,0.01704691631245603,0.0038757738922153614,0.04880000000000001,1.3098413421516673,50
9,6,True,1.1181693449938923,0.11816934499389231,0.13785106429792324,0.044800000000000006,0.9993870086603671,50
9,6,False,0.9600901453309828,0.0399098546690172,1.0279884921733519e-05,0.0208,1.7032737311754762,50
0,7,True,1.0566260433084427,0.056626043308442675,0.10324861208131582,0.012000000000000002,0.9983148930866039,50
0,7,False,1.0932164370565751,0.09321643705657512,0.021524795181647207,0.048,1.1051903314271425,50
1,7,True,0.9698601961323111,0.030139803867688886,0.0709763267585801,0.0104,0.9986079973922783,50
1,7,False,1.0640388333385138,0.06403883333851379,0.009276411941727888,0.0496,1.1975094746183625,50
2,7,True,0.9190983035732359,0.08090169642676415,0.1703029938717846,0.012799999999999999,0.9988738231370162,50
2,7,False,1.0584106161282056,0.05841061612820564,0.00022416293947737076,0.0464,1.0983534585401298,50
3,7,True,0.9923600359586571,0.007639964041342928,0.0820839059312057,0.005600000000000001,0.9983442716568911,50
3,7,False,0.9515949614374496,0.048405038562550406,0.05601456666570979,0.032,1.473463505047118,50
4,7,True,1.1258021306919024,0.12580213069190238,0.16015333085581013,0.0096,0.9983842760744893,50
4,7,False,0.9855180678712376,0.014481932128762365,0.0022229790886751357,0.049600000000000005,0.9902703859564554,50
5,7,True,0.9835877563981067,0.016412243601893306,0.1277703713402763,0.016799999999999995,0.9983574797914261,50
5,7,False,0.9635031889199633,0.03649681108003666,0.011968807422261913,0.027200000000000002,1.413594012204062,50
6,7,True,1.1356370670689795,0.1356370670689795,0.16585707860073023,0.03760000000000001,0.9990415098752617,50
6,7,False,1.0181532589985767,0.01815325899857667,0.06858190835297515,0.044800000000000006,1.5622392366482065,50
7,7,True,0.8579523022652645,0.14204769773473547,0.04123561896439596,0.0048000000000000004,0.9988180658053525,50
7,7,False,0.9772578202605446,0.02274217973945536,6.383567609294714e-05,0.047200000000000006,1.2447431281915016,50
8,7,True,0.9207032035426256,0.07929679645737442,0.10022445445715938,0.0032,0.9987469012800781,50
8,7,False,1.0609913587526238,0.06099135875262385,0.0031450178897367734,0.03600000000000001,0.9104556215728739,50
9,7,True,1.112411122676345,0.1124111226763449,0.10492342408817182,0.016,0.9989220870282911,50
9,7,False,1.1080252053725643,0.10802520537256433,0.007191238908319324,0.03840000000000001,1.1985025635543192,50
0,8,True,1.0433837588065584,0.043383758806558426,0.1392195159789803,0.026400000000000007,0.9990299527553974,50
0,8,False,1.1947365154579541,0.19473651545795412,0.00032910267966661634,0.04880000000000001,1.5009995841796906,50
1,8,True,1.134876356376403,0.13487635637640305,0.14098075252050443,0.0072,0.9989712048585093,50
1,8,False,1.093223901120101,0.09322390112010104,0.00046707728083478554,0.03280000000000001,1.7971513370477215,50
2,8,True,1.0480911575420453,0.04809115754204529,0.06598229601813994,0.03760000000000001,0.9989743464307625,50
2,8,False,1.0257489725069688,0.025748972506968837,0.0011960777075713947,0.0392,1.8672274555512303,50
3,8,True,1.0061604435680984,0.006160443568098417,0.06511292639488371,0.005599999999999999,0.9981202110507342,50
3,8,False,0.9839465336271496,0.016053466372850433,0.0006722415851588498,0.04880000000000001,1.3854598523354473,50
4,8,True,0.9984862860010918,0.001513713998908206,0.12144100894864018,0.0256,0.9989241105180684,50
4,8,False,0.9799296392623909,0.02007036073760915,0.008609760424715486,0.036000000000000004,1.6362849035060893,50
5,8,True,0.9805559691880251,0.019444030811974877,0.101754628955553,0.014400000000000001,0.9985484532248396,50
5,8,False,0.9517367776529447,0.04826322234705527,0.01720198125112688,0.0456,1.3987973062094095,50
6,8,True,0.9796834811495506,0.020316518850449383,0.09446373038102683,0.0432,0.9992960410016529,50
6,8,False,1.041486639440631,0.041486639440631023,4.707743625584774e-05,0.0424,1.4891376339714557,50
7,8,True,1.0941579407524116,0.09415794075241157,0.07401384425483257,0.0456,0.9992705506676482,50
7,8,False,0.9788027499776245,0.02119725002237549,0.00022308224323636092,0.0264,1.4199843878771707,50
8,8,True,1.0992160434042706,0.09921604340427059,0.17454537767222264,0.028000000000000008,0.9988198250315765,50
8,8,False,1.1560025428667553,0.1560025428667553,0.016675869142311745,0.04080000000000001,1.817322101708787,50
9,8,True,1.145295736938356,0.14529573693835607,0.07272752469933055,0.0096,0.9988111158256685,50
9,8,False,1.0316733807516223,0.03167338075162229,0.02366839479985973,0.0368,2.2095373915544525,50
0,9,True,0.9601455803179152,0.03985441968208481,0.04679061100372001,0.0128,0.9990298316010321,50
0,9,False,1.0141671560099355,0.014167156009935455,5.924924989448684e-06,0.0416,1.4212576634300782,50
1,9,True,1.0846591870082505,0.08465918700825048,0.10978467328140214,0.012,0.9988913792607961,50
1,9,False,1.018551219843416,0.0185512198434159,7.805260656681521e-05,0.046400000000000004,1.5419750583906406,50
2,9,True,0.9918934039941348,0.008106596005865163,0.12809153315022156,0.0272,0.9990804060354892,50
2,9,False,0.9439058632164921,0.05609413678350794,2.112695770309618e-05,0.0328,1.408585487828562,50
3,9,True,0.7728285529857072,0.22717144701429282,0.13075493966754445,0.008,0.9991789155937132,50
3,9,False,1.0751574400728006,0.07515744007280056,0.000687230209200531,0.0408,1.541940225152345,50
4,9,True,0.942120312454885,0.057879687545114966,0.12426101038241161,0.0048,0.9985633309610822,50
4,9,False,1.0056405298903428,0.005640529890342805,0.0005638945494711819,0.0464,1.516504746456856,50
5,9,True,0.9123806401785327,0.08761935982146729,0.09854570123658418,0.038400000000000004,0.9992448921027542,50
5,9,False,0.9631693840099339,0.036830615990066096,0.00581145834996872,0.0392,1.8934210569274583,50
6,9,True,1.0438171582215372,0.0438171582215372,0.06844819401548388,0.03280000000000001,0.99918968084784,50
6,9,False,1.0239193952488876,0.023919395248887643,0.0013012013792986904,0.033600000000000005,1.4688097394508979,50
7,9,True,1.088340778618941,0.08834077861894096,0.14858968678990542,0.02,0.9992312404891037,50
7,9,False,0.995306747075535,0.004693252924464986,0.0018682083932438018,0.0192,1.1398300028210375,50
8,9,True,1.0882565059770277,0.08825650597702772,0.16244518285290516,0.04720000000000001,0.999215383288295,50
8,9,False,0.9930193616196952,0.006980638380304827,0.029599395039824016,0.047200000000000006,1.3748989524154818,50
9,9,True,1.0487308199275012,0.04873081992750117,0.12620681464888459,0.04879999999999999,0.9993385866373727,50
9,9,False,1.0757787572007849,0.07577875720078486,0.04736394874468797,0.0432,1.4337245804875467,50
